budget,genres,id,original_language,original_title,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
"$270,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",1452,en,Superman Returns,57.925623,2006-06-28,391081192,154,Released,,Superman Returns,5.4,1400
"$200,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",10764,en,Quantum of Solace,107.928811,2008-10-30,586090727,106,Released,"For love, for hate, for justice, for revenge.",Quantum of Solace,6.1,2965
"$200,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",58,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,2006-06-20,1065659812,151,Released,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7,5246
"$255,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 37, ""name"": ""Western""}]",57201,en,The Lone Ranger,49.046956,2013-07-03,89289910,149,Released,Never Take Off the Mask,The Lone Ranger,5.9,2311
"$225,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",49521,en,Man of Steel,99.398009,2013-06-12,662845518,143,Released,You will believe that a man can fly.,Man of Steel,6.5,6359
"$225,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2454,en,The Chronicles of Narnia: Prince Caspian,53.978602,2008-05-15,419651413,150,Released,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,6.3,1630
"$220,000,000.00","[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",24428,en,The Avengers,144.448633,2012-04-25,1519557910,143,Released,Some assembly required.,The Avengers,7.4,11776
"$380,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",1865,en,Pirates of the Caribbean: On Stranger Tides,135.413856,2011-05-14,1045713802,136,Released,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,6.4,4948
"$225,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",41154,en,Men in Black 3,52.035179,2012-05-23,624026776,106,Released,They are back... in time.,Men in Black 3,6.2,4160
"$250,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",122917,en,The Hobbit: The Battle of the Five Armies,120.965743,2014-12-10,956019788,144,Released,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760
"$215,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",1930,en,The Amazing Spider-Man,89.866276,2012-06-27,752215857,136,Released,The untold story begins.,The Amazing Spider-Man,6.5,6586
"$200,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",20662,en,Robin Hood,37.668301,2010-05-12,310669540,140,Released,"Rise and rise again, until lambs become lions.",Robin Hood,6.2,1398
"$250,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",57158,en,The Hobbit: The Desolation of Smaug,94.370564,2013-12-11,958400000,161,Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524
"$180,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2268,en,The Golden Compass,42.990906,2007-12-04,372234864,113,Released,There are worlds beyond our own - the compass will show the way.,The Golden Compass,5.8,1303
"$207,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",254,en,King Kong,61.22601,2005-12-14,550000000,187,Released,The eighth wonder of the world.,King Kong,6.6,2337
"$200,000,000.00","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",597,en,Titanic,100.025899,1997-11-18,1845034188,194,Released,Nothing on Earth could come between them.,Titanic,7.5,7562
"$250,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",271110,en,Captain America: Civil War,198.372395,2016-04-27,1153304495,147,Released,Divided We Fall,Captain America: Civil War,7.1,7241
"$209,000,000.00","[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",44833,en,Battleship,64.928382,2012-04-11,303025485,131,Released,The Battle for Earth Begins at Sea,Battleship,5.5,2114
"$150,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",135397,en,Jurassic World,418.708552,2015-06-09,1513528810,124,Released,The park is open.,Jurassic World,6.5,8662
"$200,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",37724,en,Skyfall,93.004993,2012-10-25,1108561013,143,Released,Think on your sins.,Skyfall,6.9,7604
"$200,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",558,en,Spider-Man 2,35.149586,2004-06-25,783766341,127,Released,There's a hero in all of us.,Spider-Man 2,6.7,4321
"$200,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",68721,en,Iron Man 3,77.68208,2013-04-18,1215439994,130,Released,Unleash the power behind the armor.,Iron Man 3,6.8,8806
"$200,000,000.00","[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",12155,en,Alice in Wonderland,78.530105,2010-03-03,1025491110,108,Released,You're invited to a very important date.,Alice in Wonderland,6.4,4645
"$210,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",36668,en,X-Men: The Last Stand,3.857526,2006-05-24,459359555,104,Released,Take a Stand,X-Men: The Last Stand,6.3,3525
"$200,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",62211,en,Monsters University,89.186492,2013-06-20,743559607,104,Released,School never looked this scary.,Monsters University,7,3528
"$150,000,000.00","[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",8373,en,Transformers: Revenge of the Fallen,21.939663,2009-06-19,836297228,150,Released,Revenge is coming.,Transformers: Revenge of the Fallen,6,3138
"$210,000,000.00","[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",91314,en,Transformers: Age of Extinction,116.840296,2014-06-25,1091405097,165,Released,This is not war. It's extinction.,Transformers: Age of Extinction,5.8,3095
"$200,000,000.00","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",68728,en,Oz: The Great and Powerful,46.985445,2013-03-07,491868548,130,Released,"In Oz, nothing is what it seems",Oz: The Great and Powerful,5.7,3530
"$200,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",102382,en,The Amazing Spider-Man 2,89.270217,2014-04-16,705717432,142,Released,No more secrets.,The Amazing Spider-Man 2,6.5,4179
"$170,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",20526,en,TRON: Legacy,73.79505,2010-12-10,400062763,125,Released,The Game Has Changed.,TRON: Legacy,6.3,2841
"$200,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",49013,en,Cars 2,49.98659,2011-06-11,559852396,106,Released,Ka-ciao!,Cars 2,5.8,2033
"$200,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",44912,en,Green Lantern,51.872839,2011-06-16,219851172,114,Released,"In our darkest hour, there will be light.",Green Lantern,5.1,2487
"$200,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",10193,en,Toy Story 3,59.995418,2010-06-16,1066969703,103,Released,No toy gets left behind.,Toy Story 3,7.6,4597
"$200,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",534,en,Terminator Salvation,71.862892,2009-05-20,371353001,115,Released,The End Begins.,Terminator Salvation,5.9,2463
"$190,000,000.00","[{""id"": 28, ""name"": ""Action""}]",168259,en,Furious 7,102.322217,2015-04-01,1506249360,137,Released,Vengeance Hits Home,Furious 7,7.3,4176
"$200,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",72190,en,World War Z,81.834855,2013-06-20,531865000,116,Released,Remember Philly!,World War Z,6.7,5560
"$250,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",127585,en,X-Men: Days of Future Past,118.078691,2014-05-15,747862775,131,Released,"To save the future, they must alter the past",X-Men: Days of Future Past,7.5,6032
"$190,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",54138,en,Star Trek Into Darkness,78.291018,2013-05-05,467365246,132,Released,Earth Will Fall,Star Trek Into Darkness,7.4,4418
"$195,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",81005,en,Jack the Giant Slayer,43.349855,2013-02-27,197687603,114,Released,Prepare for a giant adventure,Jack the Giant Slayer,5.5,2598
"$105,000,000.00","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",64682,en,The Great Gatsby,61.196071,2013-05-10,351040419,143,Released,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,The Great Gatsby,7.3,3769
"$150,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}]",9543,en,Prince of Persia: The Sands of Time,62.169881,2010-05-19,335154643,116,Released,Defy the Future,Prince of Persia: The Sands of Time,6.2,2317
"$180,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",68726,en,Pacific Rim,56.523205,2013-07-11,407602906,131,Released,"To Fight Monsters, We Created Monsters",Pacific Rim,6.7,4794
"$195,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",38356,en,Transformers: Dark of the Moon,28.529607,2011-06-28,1123746996,154,Released,The invasion we always feared. An enemy we never expected.,Transformers: Dark of the Moon,6.1,3299
"$185,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",217,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,2008-05-21,786636033,122,Released,The adventure continues . . .,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
"$175,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",105864,en,The Good Dinosaur,51.692953,2015-11-14,331926147,93,Released,Little Arms With Big Attitude,The Good Dinosaur,6.6,1736
"$185,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",62177,en,Brave,125.114374,2012-06-21,538983207,93,Released,Change your fate.,Brave,6.7,4641
"$185,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",188927,en,Star Trek Beyond,65.352913,2016-07-07,343471816,122,Released,,Star Trek Beyond,6.6,2568
"$180,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",10681,en,WALL·E,66.390712,2008-06-22,521311860,98,Released,An adventure beyond the ordinar-E.,WALL·E,7.8,6296
"$140,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",5174,en,Rush Hour 3,22.57178,2007-08-08,258022233,91,Released,The Rush Is On!,Rush Hour 3,6.1,783
"$200,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",14161,en,2012,45.274225,2009-10-10,769653595,158,Released,We Were Warned.,2012,5.6,4903
"$200,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]",17979,en,A Christmas Carol,39.744242,2009-11-04,325233863,96,Released,Season's Greedings,A Christmas Carol,6.6,1095
"$176,000,003.00","[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",76757,en,Jupiter Ascending,85.36908,2015-02-04,183987723,124,Released,Expand your universe.,Jupiter Ascending,5.2,2768
"$180,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",258489,en,The Legend of Tarzan,42.741719,2016-06-29,356743061,109,Released,Human. Nature.,The Legend of Tarzan,5.5,2430
"$180,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,2005-12-07,748806957,143,Released,Evil Has Reigned For 100 Years...,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
"$178,000,000.00","[{""id"": 878, ""name"": ""Science Fiction""}]",246655,en,X-Men: Apocalypse,139.272042,2016-05-18,543934787,144,Released,Only the strong will survive,X-Men: Apocalypse,6.4,4721
"$185,000,000.00","[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",155,en,The Dark Knight,187.322927,2008-07-16,1004558444,152,Released,Why So Serious?,The Dark Knight,8.2,12002
"$175,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",14160,en,Up,92.201962,2009-05-13,735099082,96,Released,,Up,7.7,6870
"$175,000,000.00","[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",15512,en,Monsters vs Aliens,36.167578,2009-03-19,381509870,94,Released,"When aliens attack, monsters fight back.",Monsters vs Aliens,6,1423
"$140,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",1726,en,Iron Man,120.725053,2008-04-30,585174222,126,Released,Heroes aren't born. They're built.,Iron Man,7.4,8776
"$170,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",44826,en,Hugo,32.319043,2011-11-22,185770160,126,Released,One of the most legendary directors of our time takes you on an extraordinary adventure.,Hugo,7,2141
"$170,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 37, ""name"": ""Western""}]",8487,en,Wild Wild West,40.748915,1999-06-29,222104681,106,Released,It's a whole new west.,Wild Wild West,5.1,1020
"$145,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",1735,en,The Mummy: Tomb of the Dragon Emperor,60.034162,2008-07-01,401128639,112,Released,A New Evil Awakens.,The Mummy: Tomb of the Dragon Emperor,5.2,1387
"$175,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",297761,en,Suicide Squad,90.23792,2016-08-02,745000000,123,Released,Worst Heroes Ever,Suicide Squad,5.9,7458
"$175,000,000.00","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",2698,en,Evan Almighty,27.082182,2007-06-09,173000000,96,Released,A comedy of biblical proportions,Evan Almighty,5.3,1151
"$178,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",137113,en,Edge of Tomorrow,79.456485,2014-05-27,370541256,113,Released,"Live, Die, Repeat",Edge of Tomorrow,7.6,4858
"$175,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",9804,en,Waterworld,44.640292,1995-07-28,264218220,135,Released,Beyond the horizon lies the secret to a new beginning.,Waterworld,5.9,992
"$175,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",14869,en,G.I. Joe: The Rise of Cobra,32.852443,2009-08-04,302469017,118,Released,"When all else fails, they don't.",G.I. Joe: The Rise of Cobra,5.6,1962
"$175,000,000.00","[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",150540,en,Inside Out,128.655964,2015-06-09,857611174,94,Released,Meet the little voices inside your head.,Inside Out,8,6560
"$175,000,000.00","[{""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}]",278927,en,The Jungle Book,94.199316,2016-04-07,966550600,106,Released,,The Jungle Book,6.7,2892
"$200,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",10138,en,Iron Man 2,77.300194,2010-04-28,623933331,124,Released,"It's not the armor that makes the hero, but the man inside.",Iron Man 2,6.6,6849
"$170,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}]",58595,en,Snow White and the Huntsman,77.178973,2012-05-30,396600000,127,Released,The Fairytale is Over,Snow White and the Huntsman,5.8,3118
"$180,000,000.00","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]",102651,en,Maleficent,110.620647,2014-05-28,758539785,97,Released,Don't believe the fairy tale.,Maleficent,7,4496
"$170,000,000.00","[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",119450,en,Dawn of the Planet of the Apes,243.791743,2014-06-26,710644566,130,Released,One last chance for peace.,Dawn of the Planet of the Apes,7.3,4410
"$27,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10749, ""name"": ""Romance""}]",79698,en,The Lovers,2.418535,2015-02-13,0,109,Released,Love is longer than life.,The Lovers,4.8,34
"$175,000,000.00","[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",64686,en,47 Ronin,41.796339,2013-12-06,150962475,119,Released,For courage. For loyalty. For honor.,47 Ronin,5.9,1326
"$170,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",100402,en,Captain America: The Winter Soldier,72.225265,2014-03-20,714766572,136,Released,In heroes we trust.,Captain America: The Winter Soldier,7.6,5764
"$165,000,000.00","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",10192,en,Shrek Forever After,44.041186,2010-05-16,752600867,93,Released,It ain't Ogre... Til it's Ogre,Shrek Forever After,6,1959
"$190,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]",158852,en,Tomorrowland,130.311355,2015-05-19,209154322,130,Released,Imagine a world where nothing is impossible.,Tomorrowland,6.2,2846
"$165,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",177572,en,Big Hero 6,203.73459,2014-10-24,652105443,102,Released,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,7.8,6135
"$165,000,000.00","[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",82690,en,Wreck-It Ralph,62.341073,2012-11-01,471222889,108,Released,The story of a regular guy just looking for a little wreck-ognition.,Wreck-It Ralph,7.1,4570
"$165,000,000.00","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",5255,en,The Polar Express,47.323228,2004-11-10,305875730,100,Released,This holiday season... believe.,The Polar Express,6.4,1474
"$165,000,000.00","[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",47933,en,Independence Day: Resurgence,48.775723,2016-06-22,389681935,120,Released,We had twenty years to prepare. So did they.,Independence Day: Resurgence,4.9,2491
"$165,000,000.00","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",10191,en,How to Train Your Dragon,67.263269,2010-03-05,494878759,98,Released,One adventure will change two worlds,How to Train Your Dragon,7.5,4227
